"id","context_length","pricing_in","tools","vision","reasoning"
"qwen/qwen3.7-flash","1000000","0.00000003","True","True","True"
"anthropic/claude-opus-5-fast","1000000","0.00001","True","True","True"
"anthropic/claude-opus-5","1000000","0.000005","True","True","True"
"inclusionai/ling-3.0-flash:free","262144","0","True","False","True"
"poolside/laguna-s-2.1","1048576","0.0000001","True","False","True"
"poolside/laguna-s-2.1:free","262144","0","True","False","True"
"google/gemini-3.6-flash","1048576","0.0000015","True","True","True"
"google/gemini-3.6-flash:batch","1048576","0.00000075","True","True","True"
"google/gemini-3.5-flash-lite","1048576","0.0000003","True","True","True"
"google/gemini-3.5-flash-lite:batch","1048576","0.00000015","True","True","True"
"meituan/longcat-2.0","1048756","0.0000003","True","False","True"
"thinkingmachines/inkling","1048576","0.000001","True","True","True"
"openrouter/auto-beta","2000000","-1","True","True","False"
"moonshotai/kimi-k3","1048576","0.000003","True","True","True"
"meta/muse-spark-1.1","1048576","0.00000125","True","True","False"
"kwaipilot/kat-coder-air-v2.5","256000","0.00000015","True","False","False"
"kwaipilot/kat-coder-pro-v2.5","256000","0.00000074","True","False","False"
"openai/gpt-5.6-luna-pro","1050000","0.0000005","True","True","True"
"openai/gpt-5.6-luna","1050000","0.0000005","True","True","True"
"openai/gpt-5.6-terra-pro","1050000","0.00000125","True","True","True"
"openai/gpt-5.6-terra","1050000","0.00000125","True","True","True"
"openai/gpt-5.6-sol-pro","1050000","0.000005","True","True","True"
"openai/gpt-5.6-sol","1050000","0.000005","True","True","True"
"x-ai/grok-4.5","500000","0.000002","True","True","True"
"~x-ai/grok-latest","500000","0.000002","True","True","True"
"aion-labs/aion-3.0-mini","131072","0.0000007","True","False","False"
"aion-labs/aion-3.0","131072","0.000003","True","False","False"
"tencent/hy3","262144","0.000000132","True","False","True"
"poolside/laguna-xs-2.1","262144","0.00000006","True","False","True"
"poolside/laguna-xs-2.1:free","262144","0","True","False","True"
"anthropic/claude-sonnet-5","1000000","0.000002","True","True","True"
"anthropic/claude-sonnet-5:batch","1000000","0.000001","True","True","True"
"nex-agi/nex-n2-mini","262144","0.000000025","True","True","False"
"sakana/fugu-ultra","1000000","0.000005","True","True","True"
"google/gemini-3.1-flash-image","131072","0.0000005","False","True","True"
"google/gemini-3-pro-image","131072","0.000002","True","True","False"
"cohere/north-mini-code:free","256000","0","True","False","False"
"z-ai/glm-5.2","1048576","0.0000006769","True","False","True"
"openrouter/fusion","1000000","-1","False","False","False"
"moonshotai/kimi-k2.7-code","262144","0.00000073","True","True","True"
"~anthropic/claude-fable-latest","1000000","0.00001","True","True","False"
"anthropic/claude-fable-5","1000000","0.00001","True","True","False"
"anthropic/claude-fable-5:batch","1000000","0.000005","True","True","False"
"nex-agi/nex-n2-pro","262144","0.00000025","True","True","False"
"nvidia/nemotron-3.5-content-safety:free","128000","0","False","True","True"
"nvidia/nemotron-3-ultra-550b-a55b","512288","0.0000005","True","False","True"
"nvidia/nemotron-3-ultra-550b-a55b:free","1000000","0","True","False","True"
"qwen/qwen3.7-plus","1000000","0.00000032","True","True","True"
"minimax/minimax-m3","1048576","0.0000003","True","True","False"
"minimax/minimax-m3:batch","524288","0.00000015","True","True","False"
"stepfun/step-3.7-flash","262144","0.0000002","True","True","False"
"anthropic/claude-opus-4.8-fast","1000000","0.00001","True","True","False"
"anthropic/claude-opus-4.8","1000000","0.000005","True","True","False"
"anthropic/claude-opus-4.8:batch","1000000","0.0000025","True","True","False"
"qwen/qwen3.7-max","1000000","0.000001475","True","False","True"
"x-ai/grok-build-0.1","256000","0.000001","True","True","False"
"google/gemini-3.5-flash","1048576","0.0000015","True","True","True"
"google/gemini-3.5-flash:batch","1048576","0.00000075","True","True","True"
"anthropic/claude-opus-4.7-fast","1000000","0.00003","True","True","False"
"inclusionai/ring-2.6-1t","262144","0.000000075","True","False","False"
"google/gemini-3.1-flash-lite","1048576","0.00000025","True","True","True"
"google/gemini-3.1-flash-lite:batch","1048576","0.000000125","True","True","True"
"openai/gpt-chat-latest","400000","0.000005","True","True","False"
"x-ai/grok-4.3","1000000","0.00000125","True","True","True"
"ibm-granite/granite-4.1-8b","131072","0.00000005","True","False","False"
"mistralai/mistral-medium-3-5","262144","0.0000015","True","True","False"
"nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free","256000","0","True","True","True"
"~anthropic/claude-haiku-latest","200000","0.000001","True","True","False"
"~openai/gpt-mini-latest","400000","0.00000075","True","True","False"
"~google/gemini-pro-latest","1048576","0.000002","True","True","False"
"~moonshotai/kimi-latest","1048576","0.000003","True","True","True"
"~google/gemini-flash-latest","1048576","0.0000015","True","True","True"
"~anthropic/claude-sonnet-latest","1000000","0.000002","True","True","True"
"~openai/gpt-latest","1050000","0.000005","True","True","True"
"qwen/qwen3.5-plus-20260420","1000000","0.0000003","True","True","False"
"qwen/qwen3.6-flash","1000000","0.0000001875","True","True","False"
"qwen/qwen3.6-35b-a3b","262144","0.00000014","True","True","True"
"qwen/qwen3.6-max-preview","262144","0.000001027","True","False","True"
"qwen/qwen3.6-27b","262144","0.0000003","True","True","True"
"openai/gpt-5.5-pro","1050000","0.00003","True","True","False"
"openai/gpt-5.5","1050000","0.000005","True","True","True"
"openai/gpt-5.5:batch","1050000","0.0000025","True","True","True"
"deepseek/deepseek-v4-pro","1048576","0.000000435","True","False","False"
"deepseek/deepseek-v4-flash","1048576","0.00000014","True","False","False"
"inclusionai/ling-2.6-1t","262144","0.000000075","True","False","False"
"tencent/hy3-preview","262144","0.000000063","True","False","True"
"xiaomi/mimo-v2.5-pro","1050000","0.000000435","True","False","False"
"xiaomi/mimo-v2.5","1050000","0.00000014","True","True","False"
"openai/gpt-5.4-image-2","272000","0.000008","False","True","False"
"inclusionai/ling-2.6-flash","262144","0.00000001","True","False","False"
"~anthropic/claude-opus-latest","1000000","0.000005","True","True","True"
"openrouter/pareto-code","2000000","-1","False","False","False"
"moonshotai/kimi-k2.6","262144","0.000000646","True","True","True"
